location,verse,video_idea
Jeremiah 5:22,"Do you not fear me? declares the LORD. Do you not tremble before me? I placed the sand as the boundary for the sea, a perpetual barrier that it cannot pass; though the waves toss, they cannot prevail; though they roar, they cannot pass over it.",ocean_22s.mp4
1 Chronicles 28:20,"Then David said to Solomon his son, Be strong and courageous and do it. Do not be afraid and do not be dismayed, for the LORD God, even my God, is with you. He will not leave you or forsake you, until all the work for the service of the house of the LORD is finished.",ocean_22s.mp4
Hebrews 4:14-16,"Since then we have a great high priest who has passed through the heavens, Jesus, the Son of God, let us hold fast our confession. For we do not have a high priest who is unable to sympathize with our weaknesses, but one who in every respect has been tempted as we are, yet without sin. Let us then with confidence draw near to the throne of grace, that we may receive mercy and find grace to help in time of need.",ocean_22s.mp4
Isaiah 55:5,"Behold, you shall call a nation that you do not know, and a nation that did not know you shall run to you, because of the LORD your God, and of the Holy One of Israel, for he has glorified you.",ocean_22s.mp4
Ezekiel 34:11-13,"For thus says the Lord GOD Behold, I, I myself will search for my sheep and will seek them out. As a shepherd seeks out his flock when he is among his sheep that have been scattered, so will I seek out my sheep, and I will rescue them from all places where they have been scattered on a day of clouds and thick darkness. And I will bring them out from the peoples and gather them from the countries, and will bring them into their own land. And I will feed them on the mountains of Israel, by the ravines, and in all the inhabited places of the country.",ocean_22s.mp4
Ezekiel 11:19-20,"And I will give them one heart, and a new spirit I will put within them. I will remove the heart of stone from their flesh and give them a heart of flesh, that they may walk in my statutes and keep my rules and obey them. And they shall be my people, and I will be their God.",ocean_22s.mp4
Romans 12:1-2,"I appeal to you therefore, brothers, by the mercies of God, to present your bodies as a living sacrifice, holy and acceptable to God, which is your spiritual worship. Do not be conformed to this world, but be transformed by the renewal of your mind, that by testing you may discern what is the will of God, what is good and acceptable and perfect.",ocean_22s.mp4
Romans 1:16,"For I am not ashamed of the gospel, for it is the power of God for salvation to everyone who believes, to the Jew first and also to the Greek.",ocean_22s.mp4
Hebrews 10:24-25,"And let us consider how to stir up one another to love and good works, not neglecting to meet together, as is the habit of some, but encouraging one another, and all the more as you see the Day drawing near.",ocean_22s.mp4
Phillippians 4:6-7,"do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God. And the peace of God, which surpasses all understanding, will guard your hearts and your minds in Christ Jesus.",ocean_22s.mp4
